"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_dt_h2d","mean_dt_d2h","mean_cuda","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","sd_cuda","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h","se_cuda","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"647","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"EXTRALARGE_DATASET",4096,4096,4096,2,0,188004825286,188004825286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188004825286,0,0,2,0,0,0
"648","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"HUGE_DATASET",8192,8192,8192,2,0,1688096374765,1688096374765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688096374765,0,0,2,0,0,0
"649","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"LARGE_DATASET",2048,2048,2048,2,0,16844409330,16844409330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16844409330,0,0,2,0,0,0
"650","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"MEDIUM_DATASET",512,512,512,2,0,151583550,151583550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151583550,0,0,2,0,0,0
"651","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"MINI_DATASET",64,64,64,2,0,11296366,11296366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11296366,0,0,2,0,0,0
"652","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"SMALL_DATASET",256,256,256,2,0,16196673,16196673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16196673,0,0,2,0,0,0
"653","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"STANDARD_DATASET",1024,1024,1024,2,0,1119234362,1119234362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119234362,0,0,2,0,0,0
"654","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"TINY_DATASET",128,128,128,2,0,12133510,12133510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12133510,0,0,2,0,0,0
"655","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,14,"TOY_DATASET",32,32,32,2,0,11241399,11241399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11241399,0,0,2,0,0,0
"656","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"EXTRALARGE_DATASET",4096,4096,4096,2,0,147569387459,147569387459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147569387459,0,0,2,0,0,0
"657","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"HUGE_DATASET",8192,8192,8192,2,0,1570611333868,1570611333868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570611333868,0,0,2,0,0,0
"658","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"LARGE_DATASET",2048,2048,2048,2,0,15355217925,15355217925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15355217925,0,0,2,0,0,0
"659","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"MEDIUM_DATASET",512,512,512,2,0,151054628,151054628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151054628,0,0,2,0,0,0
"660","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"MINI_DATASET",64,64,64,2,0,11452605,11452605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11452605,0,0,2,0,0,0
"661","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"SMALL_DATASET",256,256,256,2,0,19256236,19256236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19256236,0,0,2,0,0,0
"662","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"STANDARD_DATASET",1024,1024,1024,2,0,952445992,952445992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952445992,0,0,2,0,0,0
"663","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"TINY_DATASET",128,128,128,2,0,12801989,12801989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12801989,0,0,2,0,0,0
"664","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,16,"TOY_DATASET",32,32,32,2,0,15083288,15083288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15083288,0,0,2,0,0,0
"665","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,18,"EXTRALARGE_DATASET",4096,4096,4096,2,0,184269625573,184269625573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184269625573,0,0,2,0,0,0
"666","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,18,"LARGE_DATASET",2048,2048,2048,2,0,17047555888,17047555888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17047555888,0,0,2,0,0,0
